Company,Domain,Source,Segment,Country,AMLR,CRM,Score,Stage,People,Emails,Last touch,Owner,Vendor,Signal,Notes
Betclic,betclicgroup.com,Shortlist,Operator,FR,Tier A obliged,CLEAR,14,Email sent,11,0,,,,,
Entain,entaingroup.com,Shortlist,Operator,UK / GI,Tier B indirect,CLEAR,18,Email sent,23,1,,,,Group MLRO Ed Maguire in seat; Gibraltar fraud ops,
FDJ United,kindredgroup.com,Shortlist,Operator,MT / FR,Tier A obliged,CLEAR,16,Email sent,14,11,,,,"Mail split across kindredgroup.com, fdjunited.com and lfdj.com",
Kroll,kroll.com,Partner list,Partner,UK / US,Partner,CLEAR,16,Email sent,7,6,,,,"Do not derive addresses, the pattern is not uniform",
K2 Integrity,k2integrity.com,Partner list,Partner,US,Partner,CLEAR,18,Email sent,1,1,,,,John Al Saddy replied; company record filed under a person's name,
PwC Malta,pwc.com,Partner list,Partner,MT,Partner,HOLD,12,LinkedIn sent,1,1,,,,"Touched 19 Aug, inside the 90-day rule",
Tipico,tipico.com,AMLR list,Operator,DE / MT,Tier A obliged,CLEAR,18,Email sent,12,3,,,,AMLR round 2 account,
Novomatic,novomatic.com,AMLR list,Supplier / B2B,AT,Tier B indirect,CLEAR,12,Email sent,9,0,,,,,
Merkur / Gauselmann,merkur.group,AMLR list,Operator,DE,Tier A obliged,CLEAR,12,Email sent,8,0,,,,"Split domains: merkur.group, adp-merkur, merkur-services",
Winamax,winamax.fr,AMLR list,Operator,FR,Tier A obliged,CLEAR,14,Email sent,7,1,,,,"Catchall domain, verified is weak there",
Nederlandse Loterij,nederlandseloterij.nl,AMLR list,Operator,NL,Tier A obliged,CLEAR,12,Email sent,7,1,,,,,
Holland Casino,hollandcasino.nl,AMLR list,Operator,NL,Tier A obliged,CLEAR,12,Email sent,5,1,,,,Catchall domain,
EazeGames,eazegames.com,AMLR list,Operator,MT,Tier A obliged,CLEAR,12,Email sent,5,0,,,,,
Moonrail / CSGOEmpire,csgoempire.com,AMLR list,Operator,CW,Tier C outside,CLEAR,10,LinkedIn sent,3,0,,,,Apollo holds zero people on the domain,
Sorare,sorare.com,AMLR list,Gaming,FR,Tier A obliged,CLEAR,14,Email sent,2,0,,,,,
SkillOnNet,skillonnet.com,Visitor,Operator,MT,Tier A obliged,CLEAR,24,Email sent,18,10,,,,Sister domain kpaxmarketing.com carries some staff mail,
Coolbet,coolbet.com,Visitor,Operator,EE,Tier A obliged,CLEAR,22,Email sent,9,7,,,,"Exited Alberta Jul 2026, now under Sega Sammy",
Veikkaus,veikkaus.fi,Visitor,Operator,FI,Tier A obliged,CLEAR,26,Email sent,10,7,,,,Gambling Act 10/2026 ends the online monopoly Jul 2027,
Greentube,greentube.com,Visitor,Supplier / B2B,AT,Tier B indirect,CLEAR,20,Email sent,14,12,,,,Compliance function rebuilt almost entirely in 18 months,
